title,details_url,start_date,end_date,start_time,end_time,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
Windsurfer LT Nationals,https://www.sailing.org.za/events/289749,2025-04-04,2025-04-06,09:00,09:00,Hermanus Yacht Club,National Championships,,,,,,,,,,,289749,,,True
MBSC Interschools,https://www.sailing.org.za/events/286254,2025-04-05,2025-04-06,09:00,09:00,George Lakes Yacht Club,Interschools,,,,,,,,,,,286254,,,True
Overberg Champs,https://www.sailing.org.za/events/278530,2025-04-05,2025-04-06,09:00,09:00,Theewater Sports Club,District Competitions,,,,,,,,,,,278530,,,True
SA Sailing Instructors Course - Dinghy endorsement,https://www.sailing.org.za/events/284702,2025-04-08,2025-04-11,09:00,17:00,Midland Sail School HMYC,Training,,,,,,,,,,,284702,,,True
Mirror African Championship,https://www.sailing.org.za/events/209084,2025-04-10,2025-04-11,08:00,17:00,Point Yacht Club,,,,,,,,,,,,209084,,,True
MACS Shipping,https://www.sailing.org.za/events/278533,2025-04-12,2025-04-13,09:00,09:00,Zeekoe Vlei Yacht Club,Dinghy Event,,,,,,,,,,,278533,,,True
Mirror World Championship,https://www.sailing.org.za/events/209085,2025-04-14,2025-04-19,08:00,17:00,Point Yacht Club,,,,,,,,,,,,209085,,,True
2025 ILCA Nationals,https://www.sailing.org.za/events/277985,2025-04-19,2025-04-20,09:00,09:00,East London Yacht Club,National Championships,,,,,,,,,,,277985,,,True
FBYC Easter Regatta,https://www.sailing.org.za/events/278534,2025-04-19,2025-04-20,09:00,09:00,False Bay Yacht Club,Keel Boat Event,,,,,,,,,,,278534,,,True
WC Dinghy Champs,https://www.sailing.org.za/events/238427,2025-04-26,2025-04-28,09:00,09:00,Saldanha Bay Yacht Club,Regional Championships,,,,,,,,,,,238427,,,True
Hobie 16 WC Champs,https://www.sailing.org.za/events/277397,2025-04-26,2025-04-28,09:00,09:00,Langebaan,Regional Championships,,,,,,,,,,,277397,,,True
SA Sailing KZN Grand slam regatta,https://www.sailing.org.za/events/286350,2025-04-26,2025-04-27,09:00,16:30,Zululand Yacht Club,Dinghy Event,,,,,,,,,,,286350,,,True
2025 29er SA Sailing National Championship,https://www.revolutionise.com.au/29erclass/events/276341,2025-05-01,2025-05-04,09:00,18:00,Saldanha Bay Yacht Club,National Championships,,,,,,,,,,,,revolutionise,276341,True
2025 Free State Youth Provincial Championship,https://www.sailing.org.za/events/283418,2025-05-01,2025-05-04,09:00,16:00,Lake Deneys Yacht Club,Regional Championships,,,,,,,,,,,283418,,,True
National Umpire Seminar,https://www.sailing.org.za/events/291835,2025-05-03,2025-05-04,08:30,15:30,The Water Club,,,,,,,,,,,,291835,,,True
