title,details_url,start_date,end_date,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
"2024 ILCA 4, 6 &amp; 7 KZN REGIONAL CHAMPIONSHIP",https://www.hmyc.org.za/events/245520,2024-09-21,2024-09-24,"target=""_blank""",,,,,,,,,,,,,www_hmyc_org_za,245520,True
Intasure Spring Regatta,https://www.sailing.org.za/events/187160,2024-09-21,2024-09-24,>Intasure Spring Regatta,,,,,,,,,,,,187160,,,True
DF 95 Nationals,https://www.sailing.org.za/events/230627,2024-09-21,2024-09-24,>DF 95 Nationals,,,,,,,,,,,,230627,,,True
2024 DAC Inland Keelboat Regatta,https://www.sailing.org.za/events/254805,2024-09-21,2024-09-24,>2024 DAC Inland Keelboat Regatta,,,,,,,,,,,,254805,,,True
505 Nationals,https://www.sailing.org.za/events/250552,2024-09-21,2024-09-23,>505 Nationals,,,,,,,,,,,,250552,,,True
Agulhas Race 2024,https://www.sailing.org.za/events/187161,2024-09-26,2024-09-29,>Agulhas Race 2024,,,,,,,,,,,,187161,,,True
SA Sailing WC Youth Regatta,https://www.sailing.org.za/events/240653,2024-09-28,2024-09-29,>SA Sailing WC Youth Regatta,,,,,,,,,,,,240653,,,True
STC Ladies Sail Training,https://www.sailing.org.za/events/240656,2024-09-28,2024-09-29,>STC Ladies Sail Training,,,,,,,,,,,,240656,,,True
STC Girls Taste of Sailing Session,https://www.sailing.org.za/events/253659,2024-09-28,2024-09-29,>STC Girls Taste of Sailing Session,,,,,,,,,,,,253659,,,True
2024 Mirror GP Regional Championship,https://www.sailing.org.za/events/259148,2024-10-04,2024-10-04,>2024 Mirror GP Regional Championship,,,,,,,,,,,,259148,,,True
George Lakes Interclub,https://www.sailing.org.za/events/240657,2024-10-05,2024-10-06,>George Lakes Interclub,,,,,,,,,,,,240657,,,True
420 Nationals,https://www.sailing.org.za/events/253303,2024-10-05,2024-10-06,>420 Nationals,,,,,,,,,,,,253303,,,True
2024 Dabchick Regional Championship,https://www.sailing.org.za/events/254573,2024-10-05,2024-10-06,>2024 Dabchick Regional Championship,,,,,,,,,,,,254573,,,True
STC Ladies Sailing,https://www.sailing.org.za/events/253657,2024-10-05,2024-10-05,>STC Ladies Sailing,,,,,,,,,,,,253657,,,True
Free State Junior Dinghy Provincials,https://www.sailing.org.za/events/253668,2024-10-11,2024-10-13,>Free State Junior Dinghy Provincials,,,,,,,,,,,,253668,,,True
LDYC Ultra Round-the-Island-Regatta,https://www.sailing.org.za/events/253667,2024-10-11,2024-10-13,>LDYC Ultra Round-the-Island-Regatta,,,,,,,,,,,,253667,,,True
